Ingredient ID,Ingredient,measurement,package size,price,double_observation,responsible,,,Conversion Table,,
InID167,j<U+00E3><U+00A4>germeister,ml,700,12,jaegermeister,Zanis,,,,,
InID168,jack daniels,ml,1000,18.99,whisky,Zanis,,,,,
InID169,jello,g,85,2,,Zanis,,,,,
InID170,jim beam,ml,700,24,,Zanis,,,,,
InID171,johnnie walker,ml,700,40,,Zanis,,,,,
InID172,kahlua,ml,700,20,,Zanis,,,,,
InID173,kirschwasser,ml,700,30,,Zanis,,,,,
InID174,kiwi,piece,2,1.5,,Zanis,,,,,
InID175,kiwi liqueur,ml,500,13,,Zanis,,,,,
InID176,kool-aid,g,540,6,,Zanis,,,,,
InID177,kummel,ml,700,24,,Zanis,,,,,
InID178,lager,ml,330,1.5,beer,Zanis,,,,,
InID179,lavender,piece,1,1.2,,Zanis,,,,,
InID180,lemon,piece,1,0.5,,Zanis,,,,,
InID181,lemon juice,ml,500,1.5,,Zanis,,,,,
InID182,lemon peel,piece,1,0.5,lemon,Zanis,,,,,
InID183,lemon vodka,ml,700,13.95,,Harro,,,,,
InID184,lemon-lime soda,ml,1500,1.29,,Harro,,,,,
InID185,lemonade,ml,750,1.99,,Harro,,,,,
InID186,licorice root,g,1000,18.29,,Harro,,,,,
InID187,light cream,ml,200,1.33,,Harro,,,,,
InID188,light rum,ml,1000,19.99,white rum,Harro,,,,,
InID189,lillet blanc,ml,750,14.99,sweet vermouth,Harro,,,,,
InID190,lime,piece,1,0.71,,Harro,,,,,
InID191,lime juice,ml,125,0.92,,Harro,,,,,
InID192,lime juice cordial,ml,700,4.95,,Harro,,,,,
InID193,lime peel,piece,1,0.71,,Harro,,,,,
InID194,lime vodka,ml,700,18.99,,Harro,,,,,
InID195,limeade,ml,500,4.1,,Harro,,,,,
InID196,malibu rum,ml,1000,18.49,,Harro,,,,,
InID197,mango,piece,1,1.39,,Harro,,,,,
InID198,maple syrup,g,600,1.29,,Harro,,,,,
InID199,maraschino cherry,g,400,12.95,,Harro,,,,,
InID200,maraschino liqueur,ml,700,10.95,,Harro,,,,,
InID201,marjoram leaves,g,8,2.01,,Harro,,,,,
InID202,marshmallows,g,400,0.95,,Harro,,,,,
InID203,maui,ml,700,12.5,,Harro,,,,,
InID204,melon liqueur,ml,350,8.75,,Harro,,,,,
InID205,midori melon liqueur,ml,350,8.75,melon liqueur,Harro,,,,,
InID206,milk,ml,1000,1.05,,Harro,,,,,
InID207,mini-snickers bars,g,403,2.83,,Harro,,,,,
InID208,mint,g,15,0.99,,Felix,,,,,
InID209,mint syrup,ml,700,9.7,,Felix,,,,,
InID210,mountain dew,ml,330,0.79,,Felix,,,,,
InID211,nutmeg,g,35,2.79,,Felix,,,,,
InID212,olive,g,160,2.29,,Felix,,,,,
InID213,olive brine,piece,1,2.29,,Felix,,,,,
InID214,orange,piece,1,0.75,,Felix,,,,,
InID215,orange bitters,ml,100,9,,Felix,,,,,
InID216,orange curacao,ml,700,14.99,,Felix,,,,,
InID217,orange juice,ml,1000,1.59,,Felix,,,,,
InID218,orange peel,piece,1,0.75,,Felix,,,,,
InID219,orange spiral,piece,1,0.75,,Felix,,,,,
InID220,oreo cookie,piece,14,1.49,,Felix,,,,,
InID221,orgeat syrup,ml,700,7.9,,Felix,,,,,
InID222,ouzo,ml,700,10.99,,Felix,,,,,
InID223,papaya,piece,1,2.99,,Felix,,,,,
InID224,passion fruit juice,ml,1000,1.95,,Felix,,,,,
InID225,passion fruit syrup,ml,700,8.85,,Felix,,,,,
InID226,peach bitters,ml,150,14.34,,Felix,,,,,
InID227,peach brandy,ml,700,13.29,,Felix,,,,,
InID228,peach nectar,ml,750,3.99,,Felix,,,,,
InID229,peach schnapps,ml,700,13.29,peach brandy,Felix,,,,,
InID230,peach vodka,ml,700,16.5,,Felix,,,,,
InID231,peachtree schnapps,ml,700,13.29,peach brandy,Felix,,,,,
InID232,pepper,g,50,1.89,,Felix,,,,,
InID233,peppermint extract,ml,35,2.79,,Felix,,,,,
